id , TEV NAME , OTHER NAMES , TYPE , RA (J2000) , Dec (J2000) , LII(degrees) , BII(degrees) , ErrRaStat[s] , ErrRaSys[s] , ErrDecStat[arcsec] , ErrDecSys[arcsec] , EXTENDED , SEMIMAJOR[deg] , ERRMAJOR[deg] , SEMIMINOR[deg] , ERRMINOR[deg] , ROTATION ANGLE[deg] , DIFF. FLUX NORMALIZATION[x TeV^-1 cm^-2 s^-1] , DIFF. FLUX NORMALIZATION ERRSTAT[x TeV^-1 cm^-2 s^-1] , DIFF. FLUX NORMALIZATION ERRSYS[x TeV^-1 cm^-2 s^-1] , SPECTRAL SLOPE , ERRSLOPESTAT , ERRSLOPESYS , INTEGRAL FLUX , ErrFluxStat[x 10^-12 cm^-2 s^-1] , ErrFluxSys[x 10^-12 cm^-2 s^-1] , OTHER SPECTRAL COMPONENTS , Flux in CU[%] , THR ENERGY [GeV] , MIN ZENITH[deg] , MAX ZENITH[deg] , MEAN ZENITH[deg] , DISTANCE[kPc] , Distance , Discoverer , Observatory , START TIME[MJD] , END OBSERVATION[MJD] , EXPOSURE TIME[ksec] , POS. ERROR CIRCLE[deg] , Diff. Flux. Norm. Energy[TeV] , REFERENCE , COMMENTS
11 , "TeV J0222+4302" , "3C 66A" , "IBL" , "02 22 39.6" , "+43 02 07.8" , "140.14" , "-16.77" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "9.6e-11" , "2.5e-11" , "3.4e-11" , "3.64" , "0.39" , "0.25" , "45" , "11" , "16" , "NO" , "8.3" , "100" , "13" , "35" , "-" , "1685" , "0.444" , "Crimea" , "MAGIC" , "55170" , "55214" , "8.28" , "-" , "0.2" , "Aleksic et al. (2011), ApJ 726, 58" , "Coordinates from NED (1995AJ 110 880J). Distance of CoG from 3C 66A: (0.010 +/- 0.023) deg."
12 , "TeV J0223+4259" , "MAGIC J0223+403/ 3C 66B" , "UNID" , "02 23 11.4" , "+42 59 31.4" , "140.25" , "-16.78" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.7e-11" , "3e-12" , "6e-12" , "3.1" , "0.3" , "0.2" , "7.3" , "1.5" , "-" , "NO" , "2.2" , "150" , "13" , "35" , "-" , "-" , "-" , "MAGIC" , "MAGIC" , "54313" , "54465" , "163" , "0.048" , "0.3" , "Aliu et al. (2009), ApJ 692, L29" , "Position quoted from NED (2004AJ 127.3587F). 3C 66B is 1.1 arcmin from the excess position."
13 , "TeV J0232+2016" , "1ES 0229+200" , "HBL" , "02 32 53.2" , "+20 16 21" , "152.96" , "-36.62" , "3.1" , "1.3" , "44" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "6.2e-13" , "-" , "-" , "2.5" , "0.19" , "0.1" , "0.94" , "0.15" , "0.19" , "NO" , "1.8" , "580" , "-" , "-" , "46" , "574230" , "0.14" , "HESS" , "HESS" , "53614" , "54088" , "150.48" , "0.014" , "1" , "Aharonian et al. (2007), A&A 475, L9" , "Diff. flux normalization calculated from the integral flux and spectral index, assuming 1 TeV as normalization energy."
14 , "TeV J0240+6115" , "LSI +61_303" , "XRB" , "02 40 34" , "+61 15 25" , "135.66" , "1.11" , "2" , "8" , "24" , "120" , "NO" , "-" , "-" , "-" , "-" , "-" , "2.7e-12" , "4e-13" , "8e-13" , "2.6" , "0.2" , "0.2" , "2.2" , "-" , "-" , "NO" , "8" , "400" , "-" , "-" , "-" , "2" , "-" , "MAGIC" , "MAGIC" , "53644" , "53825" , "194.4" , "0.034" , "1" , "Albert et al. (2006), Science Vol. 312, 1771" , "Spectrum from 200 GeV and 4 TeV, calculated at phase=0.4-0.7; maximum flux (16% CU) at orbital phase around 0.6."
15 , "TeV J0303-2407" , "PKS 0301-243/ RBS 0383" , "HBL" , "03 03 23.49" , "-24 07 35.86" , "214.62" , "-60.2" , "1.19" , "1.3" , "15.35" , "19.5" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.1e-11" , "-" , "-" , "4.6" , "0.7" , "0.2" , "3.3" , "1.1" , "0.7" , "NO" , "1.4" , "200" , "0" , "20" , "-" , "-" , "0.266" , "HESS" , "HESS" , "55044" , "55926" , "125.6" , "0.0073" , "0.29" , "Aharonian et al. (2013), A&A 559A, 136." , "-"
16 , "TeV J0316+4119" , "MAGIC J0317+413/ IC 310" , "AGN" , "03 16 43.0" , "+41 19 29" , "150.18" , "-13.74" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.1e-12" , "2e-13" , "-" , "2" , "0.14" , "-" , "3.1" , "0.5" , "-" , "NO" , "2.5" , "300" , "-" , "-" , "-" , "-" , "0.0189" , "MAGIC" , "MAGIC" , "55105" , "55255" , "74.16" , "-" , "1" , "Aleksic et al. (2010), ApJ Lett. 723, L207" , "No position is quoted. Coordinates from NED."
17 , "TeV J0319+1845" , "RBS 0413/ EXO 0317.0+1834/1E 0317.0+1835" , "HBL" , "03 19 47" , "+18 45 42" , "165.08" , "-31.71" , "4" , "7" , "60" , "108" , "NO" , "-" , "-" , "-" , "-" , "-" , "1.38e-11" , "5.2e-12" , "6e-12" , "3.18" , "0.68" , "0.3" , "1.5" , "0.6" , "0.7" , "NO" , "1" , "250" , "11" , "33" , "20" , "-" , "0.190" , "VERITAS" , "VERITAS" , "54732" , "55485" , "94" , "0.034" , "0.3" , "Aliu et al. (2012), ApJ 750, 94" , "-"
18 , "TeV J0319+4130" , "NGC 1275" , "FRI" , "03 19 48.1" , "+41 30 42.1" , "150.57" , "-13.26" , "-" , "-" , "-" , "-" , "NO" , "-" , "-" , "-" , "-" , "-" , "3.1e-10" , "1e-10" , "7e-11" , "4.1" , "0.7" , "0.3" , "13" , "2" , "3" , "NO" , "2.5" , "100" , "12" , "36" , "-" , "-" , "0.0179" , "MAGIC" , "MAGIC" , "55409" , "55620" , "164.52" , "-" , "0.1" , "Aleksic et al. (2012), A&A 539, L2" , "Coordinates from NED (2002ApJS 141 13B). Spectrum between 70 GeV and 500 GeV."
19 , "TeV J0349-1158" , "1ES 0347-121" , "HBL" , "03 49 23.0" , "-11 58 38" , "201.9" , "-45.71" , "1.4" , "1.3" , "33" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "4.52e-13" , "8.5e-14" , "9e-14" , "3.10" , "0.23" , "0.10" , "3.9" , "1.1" , "-" , "NO" , "2" , "250" , "12" , "40" , "19" , "762490" , "0.188" , "HESS" , "HESS" , "53973" , "54090" , "91.44" , "0.011" , "1" , "Aharonian et al. (2007), A&A 473, L25" , "-"
20 , "TeV J0416+0105" , "1ES 0414+009" , "HBL" , "04 16 52.96" , "+01 05 20.4" , "191.81" , "-33.16" , "0.10" , "1.3" , "15" , "20" , "NO" , "-" , "-" , "-" , "-" , "-" , "5.7e-12" , "6.2e-13" , "-" , "3.45" , "0.25" , "0.20" , "1.88" , "0.20" , "0.38" , "NO" , "0.6" , "200" , "22" , "41" , "26" , "-" , "0.287" , "HESS" , "HESS" , "53371" , "55196" , "265" , "0.0069" , "0.35" , "Abramowski et al. (2012), A&A 538, 103" , "-"
